Date,Open,High,Low,Close,Adj Close,Volume
2017-02-17,12.79,13.14,12.6,13.13,13.13,40781000
2017-02-16,13.25,13.35,12.84,12.97,12.97,52343400
2017-02-15,13.2,13.44,13.15,13.3,13.3,33635200
2017-02-14,13.43,13.49,13.19,13.26,13.26,40404300
2017-02-13,13.7,13.95,13.38,13.49,13.49,57203000
2017-02-10,13.86,13.86,13.25,13.58,13.58,54495000
2017-02-09,13.78,13.89,13.4,13.42,13.42,72435600
2017-02-08,13.21,13.75,13.08,13.56,13.56,75781200
2017-02-07,14.05,14.27,13.06,13.29,13.29,158434600
2017-02-06,12.46,13.7,12.38,13.63,13.63,139775500
2017-02-03,12.37,12.5,12.04,12.24,12.24,59951500
2017-02-02,11.98,12.66,11.95,12.28,12.28,116030400
2017-02-01,10.9,12.14,10.81,12.06,12.06,165463900
2017-01-31,10.6,10.67,10.22,10.37,10.37,49303600
2017-01-30,10.62,10.68,10.3,10.61,10.61,37593800
2017-01-27,10.6,10.73,10.52,10.67,10.67,32536600
2017-01-26,10.35,10.66,10.3,10.52,10.52,35780900
2017-01-25,10.74,10.98,10.15,10.35,10.35,61778100
2017-01-24,9.95,10.49,9.95,10.44,10.44,43652600
2017-01-23,9.68,10.06,9.68,9.91,9.91,27786600
2017-01-20,9.88,9.96,9.67,9.75,9.75,27891300
2017-01-19,9.92,10.25,9.75,9.77,9.77,45997900
2017-01-18,9.54,10.1,9.42,9.88,9.88,51624400
2017-01-17,10.17,10.23,9.78,9.82,9.82,70275900
2017-01-13,10.79,10.87,10.56,10.58,10.58,38339100
2017-01-12,10.98,11.04,10.33,10.76,10.76,75124900
2017-01-11,11.39,11.41,11.15,11.2,11.2,39312700
2017-01-10,11.55,11.63,11.33,11.44,11.44,29108700
2017-01-09,11.37,11.64,11.31,11.49,11.49,37128000
2017-01-06,11.29,11.49,11.11,11.32,11.32,34389400
2017-01-05,11.43,11.69,11.23,11.24,11.24,38707100
2017-01-04,11.45,11.52,11.24,11.43,11.43,40623900
2017-01-03,11.42,11.65,11.02,11.43,11.43,55097900
